image_id,scene_category,objects,num_objects,scene_confidence
sunrgbd/kv2/kinect2data/000018_2014-05-26_14-39-47_260595134347_rgbf000001-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000019_2014-05-26_14-40-57_260595134347_rgbf000061-resize,bedroom,bed;dresser;dresser_mirror;night_stand;lamp;lamp,6,1.0
sunrgbd/kv2/kinect2data/000020_2014-05-26_14-41-22_260595134347_rgbf000034-resize,bedroom,bed;night_stand;dresser;dresser;lamp,5,1.0
sunrgbd/kv2/kinect2data/000021_2014-05-26_14-42-06_260595134347_rgbf000041-resize,bedroom,bed;night_stand;dresser;lamp;dresser_mirror,5,1.0
sunrgbd/kv2/kinect2data/000022_2014-05-26_14-42-46_260595134347_rgbf000031-resize,bedroom,night_stand;dresser_mirror;bed;lamp;dresser,5,1.0
sunrgbd/kv2/kinect2data/000023_2014-05-26_14-43-38_260595134347_rgbf000041-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000024_2014-05-26_14-44-24_260595134347_rgbf000055-resize,bedroom,bed;night_stand;sofa;dresser_mirror,4,0.643
sunrgbd/kv2/kinect2data/000025_2014-05-26_14-45-00_260595134347_rgbf000031-resize,bedroom,bed;night_stand;sofa,3,0.643
sunrgbd/kv2/kinect2data/000026_2014-05-26_14-45-58_260595134347_rgbf000021-resize,bedroom,bed;night_stand;dresser_mirror,3,1.0
sunrgbd/kv2/kinect2data/000027_2014-05-26_14-46-26_260595134347_rgbf000091-resize,bedroom,bed;dresser_mirror;sofa_bed;night_stand;lamp,5,1.0
sunrgbd/kv2/kinect2data/000029_2014-05-26_14-48-17_260595134347_rgbf000035-resize,bedroom,bed,1,1.0
sunrgbd/kv2/kinect2data/000030_2014-05-26_14-49-03_260595134347_rgbf000081-resize,bedroom,bed;night_stand;dresser_mirror;lamp,4,1.0
sunrgbd/kv2/kinect2data/000031_2014-05-26_14-50-05_260595134347_rgbf000051-resize,bedroom,bed;dresser;night_stand;lamp;pillow;pillow,6,1.0
sunrgbd/kv2/kinect2data/000032_2014-05-26_14-50-29_260595134347_rgbf000068-resize,bedroom,bed;night_stand;night_stand;dresser;lamp;lamp,6,1.0
sunrgbd/kv2/kinect2data/000033_2014-05-26_14-51-07_260595134347_rgbf000133-resize,bedroom,bed;night_stand;bed;lamp;lamp,5,1.0
sunrgbd/kv2/kinect2data/000034_2014-05-26_14-52-22_260595134347_rgbf000031-resize,bedroom,bed;dresser_mirror;night_stand;lamp,4,1.0
sunrgbd/kv2/kinect2data/000035_2014-05-26_14-52-45_260595134347_rgbf000070-resize,bedroom,bed;bed;night_stand;lamp;night_stand;lamp,6,1.0
sunrgbd/kv2/kinect2data/000036_2014-05-26_14-53-33_260595134347_rgbf000021-resize,bedroom,bed;night_stand;dresser_mirror;lamp,4,1.0
sunrgbd/kv2/kinect2data/000037_2014-05-26_14-54-02_260595134347_rgbf000041-resize,bedroom,bed;night_stand;dresser_mirror;dresser_mirror;lamp,5,1.0
sunrgbd/kv2/kinect2data/000038_2014-05-26_14-54-53_260595134347_rgbf000021-resize,bedroom,bed;dresser_mirror;night_stand;lamp,4,1.0
sunrgbd/kv2/kinect2data/000039_2014-05-26_14-55-16_260595134347_rgbf000016-resize,bedroom,bed;dresser;night_stand;ottoman;lamp,5,0.8
sunrgbd/kv2/kinect2data/000041_2014-05-26_14-56-20_260595134347_rgbf000021-resize,bedroom,bed;dresser;cabinet;cabinet;dresser,5,0.846
sunrgbd/kv2/kinect2data/000042_2014-05-26_14-57-37_260595134347_rgbf000002-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000043_2014-05-26_14-58-03_260595134347_rgbf000016-resize,bedroom,bed;dresser_mirror;dresser;ottoman;night_stand;lamp,6,0.8
sunrgbd/kv2/kinect2data/000044_2014-05-26_14-58-31_260595134347_rgbf000039-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000045_2014-05-26_14-59-30_260595134347_rgbf000113-resize,bedroom,bed;night_stand;dresser_mirror;dresser;lamp,5,1.0
sunrgbd/kv2/kinect2data/000046_2014-05-26_14-59-55_260595134347_rgbf000063-resize,bedroom,bed;night_stand;dresser;lamp;dresser,5,1.0
sunrgbd/kv2/kinect2data/000047_2014-05-26_15-00-28_260595134347_rgbf000053-resize,bedroom,bed;dresser;night_stand;dresser_mirror;lamp,5,1.0
sunrgbd/kv2/kinect2data/000049_2014-05-26_15-02-19_260595134347_rgbf000071-resize,bedroom,night_stand;dresser;bed,3,1.0
sunrgbd/kv2/kinect2data/000050_2014-05-26_15-02-42_260595134347_rgbf000151-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000051_2014-05-26_15-03-26_260595134347_rgbf000034-resize,bedroom,bed;night_stand;sofa_chair;dresser;lamp,5,1.0
sunrgbd/kv2/kinect2data/000052_2014-05-26_15-04-25_260595134347_rgbf000069-resize,bedroom,bed;night_stand;night_stand;ottoman;lamp;lamp,6,0.812
sunrgbd/kv2/kinect2data/000053_2014-05-26_15-05-52_260595134347_rgbf000130-resize,bedroom,bed;dresser_mirror;dresser;night_stand;lamp,5,1.0
sunrgbd/kv2/kinect2data/000054_2014-05-26_15-06-14_260595134347_rgbf000121-resize,bedroom,bed;night_stand;dresser;ottoman;dresser_mirror;lamp,6,0.8
sunrgbd/kv2/kinect2data/000055_2014-05-26_15-06-33_260595134347_rgbf000123-resize,bedroom,bed;night_stand;dresser;lamp,4,1.0
sunrgbd/kv2/kinect2data/000056_2014-05-14_23-12-27_260595134347_rgbf000171-resize,bedroom,bed;chair;table;computer,4,0.556
sunrgbd/kv2/kinect2data/000057_2014-05-14_23-13-06_260595134347_rgbf000413-resize,bedroom,chair;bed;table;monitor,4,0.556
sunrgbd/kv2/kinect2data/000059_2014-05-16_20-31-30_260595134347_rgbf000076-resize,bedroom,bed;night_stand;night_stand,3,1.0
sunrgbd/kv2/kinect2data/000060_2014-04-29_14-37-21_094959634447_rgbf000100-resize,dining_room,chair;chair;chair;chair;chair;table,6,1.0
sunrgbd/kv2/kinect2data/000061_2014-04-29_14-37-44_094959634447_rgbf000100-resize,dining_room,chair;chair;chair;chair;table,5,1.0
sunrgbd/kv2/kinect2data/000062_2014-04-29_14-38-23_094959634447_rgbf000050-resize,dining_room,chair;table,2,1.0
sunrgbd/kv2/kinect2data/000063_2014-04-29_14-38-52_094959634447_rgbf000101-resize,dining_room,chair;chair;chair;chair;chair,5,1.0
sunrgbd/kv2/kinect2data/000064_2014-04-29_14-39-49_094959634447_rgbf002016-resize,dining_room,chair;chair;chair;chair;chair;chair;chair;chair;chair;chair,10,1.0
sunrgbd/kv2/kinect2data/000107_2014-04-14_00-03-38_094959634447_rgbf000052-resize,living_room,tv;bag;tv_stand;lamp;table;box;lamp,7,1.0
sunrgbd/kv2/kinect2data/000108_2014-04-14_00-04-29_094959634447_rgbf000114-resize,living_room,vacuum_cleaner;box;bicycle;sofa;bottle;briefcase;table;box;book;box,10,1.0
sunrgbd/kv2/kinect2data/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,living_room,sofa;coffee_table;lamp,3,1.0
sunrgbd/kv2/kinect2data/000110_2014-05-14_23-42-23_260595134347_rgbf000075-resize,living_room,table;chair;chair;tv;tv_stand;coffee_table,6,0.778
sunrgbd/kv2/kinect2data/000111_2014-05-14_23-42-56_260595134347_rgbf000075-resize,living_room,table;chair;tv;tv_stand,4,0.75
sunrgbd/kv2/kinect2data/000112_2014-05-16_20-05-47_260595134347_rgbf000543-resize,living_room,chair;coffee_table;sofa;laptop,4,0.692
sunrgbd/kv2/kinect2data/000114_2014-05-16_20-11-45_260595134347_rgbf000150-resize,living_room,chair;sofa;plant;chair,4,0.714
sunrgbd/kv2/kinect2data/000115_2014-05-16_20-12-21_260595134347_rgbf000210-resize,living_room,sofa;coffee_table;chair;chair,4,0.818
sunrgbd/kv2/kinect2data/000116_2014-05-16_20-12-55_260595134347_rgbf000150-resize,living_room,sofa;coffee_table;chair;chair;desk;chair;chair;sofa,8,0.609
sunrgbd/kv2/kinect2data/000117_2014-05-16_20-13-33_260595134347_rgbf000149-resize,dining_room,chair;chair;chair;chair;back_pack,5,1.0
sunrgbd/kv2/kinect2data/000118_2014-05-16_20-17-38_260595134347_rgbf000190-resize,living_room,sofa;coffee_table;sofa,3,1.0
sunrgbd/kv2/kinect2data/000119_2014-05-16_20-18-14_260595134347_rgbf000191-resize,living_room,cabinet;speaker;speaker;sofa;tv,5,0.889
sunrgbd/kv2/kinect2data/000120_2014-05-16_20-19-15_260595134347_rgbf000131-resize,living_room,sofa;coffee_table;sofa;lamp;plant;endtable,6,1.0
sunrgbd/kv2/kinect2data/000124_2014-04-11_16-41-34_094959634447_rgbf000424-resize,office,desk;monitor;fridge,3,0.615
sunrgbd/kv2/kinect2data/000125_2014-04-11_16-49-33_094959634447_rgbf000310-resize,office,desk;desk;chair;shelf;monitor;monitor;monitor,7,0.95
sunrgbd/kv2/kinect2data/000126_2014-04-11_16-52-13_094959634447_rgbf000429-resize,office,desk;chair;desk;chair;chair;shelf;monitor,7,0.812
sunrgbd/kv2/kinect2data/000127_2014-04-11_16-55-01_094959634447_rgbf000149-resize,office,desk;chair;monitor,3,0.889
sunrgbd/kv2/kinect2data/000128_2014-04-11_17-03-40_094959634447_rgbf000180-resize,office,chair;recycle_bin;desk;monitor;monitor;chair,6,0.846
sunrgbd/kv2/kinect2data/000129_2014-04-11_17-14-04_094959634447_rgbf000587-resize,office,desk;cabinet;garbage_bin,3,0.833
sunrgbd/kv2/kinect2data/000130_2014-04-11_17-21-46-robotinroom_094959634447_rgbf000614-resize,dining_room,chair;chair;box,3,1.0
sunrgbd/kv2/kinect2data/000131_2014-04-12_16-52-53_094959634447_rgbf000046-resize,dining_room,chair;chair;table;table;person;person,6,1.0
sunrgbd/kv2/kinect2data/000134_2014-05-20_17-02-34_260595134347_rgbf000101-resize,dining_room,table;chair;chair;chair;chair;bench;chair,7,1.0
sunrgbd/kv2/kinect2data/000135_2014-05-20_17-03-38_260595134347_rgbf000100-resize,living_room,coffee_table;sofa_chair;sofa;sofa_chair,4,1.0
sunrgbd/kv2/kinect2data/000136_2014-05-20_17-04-10_260595134347_rgbf000200-resize,office,desk;chair;chair;chair;monitor;monitor,6,0.786
sunrgbd/kv2/kinect2data/000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,office,chair;table;chair;chair;desk;chair;monitor;chair,8,0.615
sunrgbd/kv2/kinect2data/000138_2014-05-20_17-10-15_260595134347_rgbf000140-resize,living_room,sofa;chair;chair,3,0.714
sunrgbd/kv2/kinect2data/000139_2014-05-20_17-10-49_260595134347_rgbf000070-resize,living_room,sofa;recycle_bin,2,1.0
sunrgbd/kv2/kinect2data/000141_2014-05-20_17-12-29_260595134347_rgbf000050-resize,dining_room,chair;chair;table;chair,4,1.0
sunrgbd/kv2/kinect2data/000142_2014-05-20_17-13-59_260595134347_rgbf000121-resize,dining_room,chair;table;chair,3,1.0
sunrgbd/kv2/kinect2data/000143_2014-05-20_17-14-32_260595134347_rgbf000021-resize,living_room,sofa,1,1.0
sunrgbd/kv2/kinect2data/000144_2014-05-20_17-15-53_260595134347_rgbf000151-resize,office,chair;desk;chair;chair;chair;monitor;monitor;monitor,8,0.778
sunrgbd/kv2/kinect2data/000147_2014-05-20_17-20-18_260595134347_rgbf000056-resize,living_room,coffee_table;sofa_chair;sofa_chair;sofa;endtable;endtable,6,1.0
sunrgbd/kv2/kinect2data/000149_2014-05-20_17-21-34_260595134347_rgbf000130-resize,dining_room,chair;table;chair,3,1.0
sunrgbd/kv2/kinect2data/000150_2014-05-20_17-22-26_260595134347_rgbf000172-resize,dining_room,chair;table;chair,3,1.0
sunrgbd/kv2/kinect2data/000151_2014-05-20_17-24-31_260595134347_rgbf000151-resize,dining_room,table;chair;chair;chair;table;chair;chair;chair;chair;chair,10,1.0
sunrgbd/kv2/kinect2data/000152_2014-05-20_17-25-25_260595134347_rgbf000150-resize,kitchen,garbage_bin;garbage_bin;cabinet,3,1.0
sunrgbd/kv2/kinect2data/000153_2014-05-20_17-27-00_260595134347_rgbf000150-resize,office,printer;recycle_bin,2,1.0
sunrgbd/kv2/kinect2data/000154_2014-05-20_17-27-28_260595134347_rgbf000150-resize,office,printer;cabinet,2,0.75
sunrgbd/kv2/kinect2data/000155_2014-05-20_17-28-01_260595134347_rgbf000151-resize,office,printer;shelf,2,1.0
sunrgbd/kv2/kinect2data/000156_2014-05-20_17-28-28_260595134347_rgbf000150-resize,office,printer;printer;cabinet;counter,4,0.667
sunrgbd/kv2/kinect2data/000157_2014-05-20_17-29-00_260595134347_rgbf000150-resize,kitchen,printer;counter;cabinet,3,0.5
sunrgbd/kv2/kinect2data/000158_2014-05-20_17-33-37_260595134347_rgbf000100-resize,dining_room,table;chair;chair;chair;chair;chair;chair;chair;desk,9,0.583
sunrgbd/kv2/kinect2data/000160_2014-04-14_00-07-25_094959634447_rgbf000226-resize,bathroom,toilet;sink,2,0.8
sunrgbd/kv2/kinect2data/000161_2014-04-14_00-08-40_094959634447_rgbf000225-resize,bathroom,bottle;shower_curtain;bathtub;towel,4,1.0
sunrgbd/kv2/kinect2data/000162_2014-05-16_20-23-47_260595134347_rgbf000089-resize,bathroom,toilet;sink,2,0.8
sunrgbd/kv2/kinect2data/000163_2014-05-16_20-29-14_260595134347_rgbf000170-resize,bathroom,toilet;bathroom_vanity;sink,3,0.8
sunrgbd/kv2/kinect2data/000164_2014-05-16_20-33-52_260595134347_rgbf000021-resize,bathroom,toilet;bathroom_vanity;sink,3,0.8
sunrgbd/kv2/kinect2data/000165_2014-05-16_20-34-36_260595134347_rgbf000130-resize,bathroom,bathtub,1,1.0
sunrgbd/kv2/kinect2data/000168_2014-05-12_16-15-57_260595134347_rgbf000289-resize,bedroom,bed;sofa_chair;night_stand;lamp;ottoman,5,0.75
sunrgbd/kv2/kinect2data/000170_2014-05-12_16-17-31_260595134347_rgbf000152-resize,office,desk;chair;tv;lamp,4,0.556
sunrgbd/kv2/kinect2data/000172_2014-05-12_16-19-04_260595134347_rgbf000198-resize,bathroom,toilet;sink;door;bathroom_vanity,4,0.8
sunrgbd/kv2/kinect2data/000176_2014-05-12_16-22-15_260595134347_rgbf000436-resize,bedroom,bed;night_stand;night_stand;crib;lamp,5,1.0
sunrgbd/kv2/kinect2data/000177_2014-05-12_16-23-16_260595134347_rgbf000211-resize,bedroom,crib;endtable;bed;painting;painting;painting;alarm,7,1.0
sunrgbd/kv2/kinect2data/000180_2014-05-12_16-25-28_260595134347_rgbf000334-resize,bathroom,toilet;bathroom_vanity,2,1.0
sunrgbd/kv2/kinect2data/000182_2014-05-12_16-27-28_260595134347_rgbf000247-resize,bathroom,bathtub;toilet;towel;paper_towel_dispenser,4,1.0
sunrgbd/kv2/kinect2data/000184_2014-05-12_16-30-40_260595134347_rgbf005763-resize,office,desk;chair;drawer;tv,4,0.556
sunrgbd/kv2/kinect2data/000185_2014-05-12_16-41-00_260595134347_rgbf003868-resize,bathroom,towel;cup;cup;sink;bathroom_vanity;toilet_paper,6,0.75
sunrgbd/kv2/kinect2data/000186_2014-05-12_16-44-58_260595134347_rgbf000322-resize,office,chair;desk;drawer;tv,4,0.556
sunrgbd/kv2/kinect2data/000189_2014-05-12_16-59-00_260595134347_rgbf000242-resize,bedroom,sofa_chair;bed;chair;night_stand;ottoman;lamp,6,0.692
sunrgbd/kv2/kinect2data/000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,bedroom,bed;night_stand;sofa_chair;ottoman;crib;night_stand;lamp,7,0.812
sunrgbd/kv2/kinect2data/000196_2014-06-02_14-53-30_260595134347_rgbf000215-resize,bathroom,toilet;bathtub,2,1.0
sunrgbd/kv2/kinect2data/000197_2014-06-02_15-33-51_260595134347_rgbf000021-resize,bathroom,table;bathtub,2,1.0
sunrgbd/kv2/kinect2data/000198_2014-06-02_15-34-15_260595134347_rgbf000026-resize,bathroom,toilet;bathroom_vanity;sink,3,0.8
sunrgbd/kv2/kinect2data/000199_2014-06-02_15-35-11_260595134347_rgbf000034-resize,bathroom,toilet;bathtub;table,3,1.0
sunrgbd/kv2/kinect2data/000256_2014-06-02_14-59-47_260595134347_rgbf000082-resize,dining_room,chair;chair;chair;table;chair,5,1.0
sunrgbd/kv2/kinect2data/000257_2014-06-02_15-13-49_260595134347_rgbf000045-resize,kitchen,island;basket;faucet;chair;chair;kitchen_counter;kitchen_cabinet;kitchen_cabinet,8,0.833
sunrgbd/kv2/kinect2data/000258_2014-06-02_15-15-21_260595134347_rgbf000061-resize,dining_room,chair;table;chair;chair,4,1.0
sunrgbd/kv2/kinect2data/000259_2014-06-02_15-15-59_260595134347_rgbf000077-resize,kitchen,chair;table;chair;fridge,4,0.714
sunrgbd/kv2/kinect2data/000260_2014-06-02_15-21-25_260595134347_rgbf000158-resize,dining_room,chair;chair;chair;chair;table,5,1.0
sunrgbd/kv2/kinect2data/000261_2014-06-02_15-14-31_260595134347_rgbf000125-resize,kitchen,kitchen_counter;kitchen_counter;kitchen_cabinet,3,1.0
sunrgbd/kv2/kinect2data/000262_2014-06-02_15-14-52_260595134347_rgbf000152-resize,bathroom,chair;chair;kitchen_counter;sink;tv,5,0.3
sunrgbd/kv2/kinect2data/000263_2014-06-02_14-42-31_260595134347_rgbf000012-resize,living_room,sofa;coffee_table;bookshelf;endtable,4,1.0
sunrgbd/kv2/kinect2data/000264_2014-06-02_14-54-29_260595134347_rgbf000033-resize,living_room,table;sofa;chair;shelf,4,0.833
sunrgbd/kv2/kinect2data/000265_2014-06-02_14-54-55_260595134347_rgbf000161-resize,living_room,sofa;sofa_chair;coffee_table;ottoman,4,1.0
sunrgbd/kv2/kinect2data/000266_2014-06-02_14-55-57_260595134347_rgbf000147-resize,living_room,sofa;coffee_table,2,1.0
sunrgbd/kv2/kinect2data/000267_2014-06-02_14-56-29_260595134347_rgbf000012-resize,living_room,sofa;endtable;sofa_chair;endtable;lamp,5,1.0
sunrgbd/kv2/kinect2data/000268_2014-06-02_14-57-50_260595134347_rgbf000050-resize,living_room,sofa;coffee_table;sofa;sofa;bookshelf,5,1.0
sunrgbd/kv2/kinect2data/000269_2014-06-02_14-59-23_260595134347_rgbf000037-resize,living_room,sofa;coffee_table;tv_stand,3,1.0
sunrgbd/kv2/kinect2data/000270_2014-06-02_15-00-22_260595134347_rgbf000014-resize,living_room,sofa_chair;sofa_chair;endtable;bookshelf;bookshelf;cabinet;ottoman,7,0.75
sunrgbd/kv2/kinect2data/000272_2014-06-02_15-11-36_260595134347_rgbf000037-resize,dining_room,chair;chair;cabinet;bookshelf,4,0.667
sunrgbd/kv2/kinect2data/000273_2014-06-02_15-11-55_260595134347_rgbf000045-resize,living_room,coffee_table;ottoman;sofa;endtable;lamp;bookshelf,6,1.0
sunrgbd/kv2/kinect2data/000276_2014-06-02_15-23-42_260595134347_rgbf000021-resize,living_room,sofa;shelf,2,1.0
sunrgbd/kv2/kinect2data/000278_2014-06-02_15-36-56_260595134347_rgbf000026-resize,bedroom,pillow;pillow;sofa;laptop;table;bag;fridge,7,0.316
sunrgbd/kv2/kinect2data/000279_2014-06-02_16-12-40_260595134347_rgbf000040-resize,living_room,sofa;coffee_table;person;person;sofa_chair;bookshelf,6,1.0
sunrgbd/kv2/kinect2data/000280_2014-06-02_16-13-06_260595134347_rgbf000064-resize,living_room,coffee_table;chair;sofa_chair;cabinet;tv;cabinet,6,0.7
sunrgbd/kv2/kinect2data/000281_2014-06-02_16-13-49_260595134347_rgbf000032-resize,living_room,sofa;coffee_table;bookshelf;endtable,4,1.0
sunrgbd/kv2/kinect2data/000282_2014-06-02_16-14-18_260595134347_rgbf000069-resize,living_room,sofa_chair;coffee_table;bookshelf;drawer;tv,5,1.0
sunrgbd/kv2/kinect2data/000283_2014-06-02_16-14-52_260595134347_rgbf000017-resize,living_room,sofa;sofa,2,1.0
sunrgbd/kv2/kinect2data/000284_2014-06-02_16-15-46_260595134347_rgbf000019-resize,living_room,sofa;coffee_table;person;person;person,5,1.0
sunrgbd/kv2/kinect2data/000285_2014-06-02_16-16-14_260595134347_rgbf000065-resize,living_room,sofa,1,1.0
sunrgbd/kv2/kinect2data/000286_2014-06-02_16-16-45_260595134347_rgbf000048-resize,living_room,sofa;sofa,2,1.0
sunrgbd/kv2/kinect2data/000287_2014-06-02_16-17-53_260595134347_rgbf000026-resize,living_room,sofa;ottoman,2,1.0
sunrgbd/kv2/kinect2data/000288_2014-06-02_16-19-10_260595134347_rgbf000125-resize,living_room,sofa,1,1.0
sunrgbd/kv2/kinect2data/000322_2014-06-02_14-58-44_260595134347_rgbf000169-resize,office,chair;desk;monitor;rack;bookshelf;plant;sofa;pillow;pillow,9,0.4
sunrgbd/kv2/kinect2data/000323_2014-06-02_15-00-58_260595134347_rgbf000097-resize,office,sofa_chair;garbage_bin;chair;garbage_bin;desk;endtable;bookshelf,7,0.833
sunrgbd/kv2/kinect2data/000324_2014-06-02_15-01-22_260595134347_rgbf000068-resize,office,desk;chair;endtable;bookshelf;bookshelf,5,0.833
sunrgbd/kv2/kinect2data/000325_2014-06-02_15-22-44_260595134347_rgbf000048-resize,office,desk;chair;shelf,3,0.833
sunrgbd/kv2/kinect2data/000326_2014-06-02_15-25-49_260595134347_rgbf000087-resize,office,desk;chair,2,0.833
sunrgbd/kv2/kinect2data/000327_2014-06-02_15-29-50_260595134347_rgbf000057-resize,office,desk;drawer;shelf;chair,4,0.833
sunrgbd/kv2/kinect2data/000333_2014-06-09_20-19-26_260595134347_rgbf000164-resize,dining_room,table;chair;chair;chair;chair;chair;chair;table;table;table;chair,11,1.0
sunrgbd/kv2/kinect2data/000334_2014-06-09_20-19-58_260595134347_rgbf000142-resize,office,table;chair;desk;chair;chair;chair;table,7,0.556
sunrgbd/kv2/kinect2data/000371_2014-06-08_22-20-19_260595134347_rgbf000138-resize,dining_room,chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair;chair,19,1.0
sunrgbd/kv2/kinect2data/000372_2014-06-08_22-20-45_260595134347_rgbf000110-resize,office,chair;desk,2,0.833
sunrgbd/kv2/kinect2data/000373_2014-06-08_11-11-22_260595134347_rgbf000256-resize,dining_room,chair;chair;chair;chair;chair;chair;chair;chair;table,9,1.0
sunrgbd/kv2/kinect2data/000374_2014-06-08_11-12-01_260595134347_rgbf000130-resize,dining_room,chair;chair;chair;chair;table;chair;chair;chair;chair;chair;chair;chair,12,1.0
sunrgbd/kv2/kinect2data/000375_2014-06-08_11-17-29_260595134347_rgbf000133-resize,dining_room,chair;chair;chair;chair;table;chair;chair;chair;chair;chair;chair,11,1.0
sunrgbd/kv2/kinect2data/000376_2014-06-08_11-17-57_260595134347_rgbf000110-resize,dining_room,chair;chair;chair;table,4,1.0
sunrgbd/kv2/kinect2data/000377_2014-06-08_11-18-34_260595134347_rgbf000178-resize,dining_room,chair;chair;chair;chair,4,1.0
sunrgbd/kv2/kinect2data/000378_2014-06-08_11-19-25_260595134347_rgbf000084-resize,dining_room,chair;chair;chair;chair;chair;table;chair;chair;chair;chair,10,1.0
sunrgbd/kv2/kinect2data/000379_2014-06-08_11-19-45_260595134347_rgbf000106-resize,dining_room,chair;chair;chair;chair;chair;chair,6,1.0
sunrgbd/kv2/kinect2data/000382_2014-06-09_16-05-37_260595134347_rgbf000172-resize,dining_room,chair;chair;chair;chair;table;table;table;table;chair;chair;chair;chair,12,1.0
sunrgbd/kv2/kinect2data/000383_2014-06-08_22-57-00_260595134347_rgbf000047-resize,dining_room,chair;desk;chair;chair;chair;chair;chair;chair;chair;table,10,0.615
sunrgbd/kv2/kinect2data/000384_2014-06-08_22-57-14_260595134347_rgbf000063-resize,dining_room,chair;endtable;chair;table,4,1.0
sunrgbd/kv2/kinect2data/000386_2014-06-08_22-57-48_260595134347_rgbf000111-resize,dining_room,chair;chair;chair;chair;chair,5,1.0
sunrgbd/kv2/kinect2data/000387_2014-06-08_23-04-43_260595134347_rgbf000079-resize,dining_room,chair;chair;chair;table;table,5,1.0
sunrgbd/kv2/kinect2data/000388_2014-06-08_23-05-16_260595134347_rgbf000052-resize,dining_room,chair;chair;chair;table;chair;chair,6,1.0
sunrgbd/kv2/kinect2data/000389_2014-06-08_23-05-33_260595134347_rgbf000106-resize,dining_room,chair;chair;chair;chair;desk;chair,6,0.5
sunrgbd/kv2/kinect2data/000390_2014-06-08_23-05-52_260595134347_rgbf000061-resize,dining_room,chair;chair;cabinet,3,0.667
sunrgbd/kv2/kinect2data/000391_2014-06-08_23-06-55_260595134347_rgbf000125-resize,dining_room,chair;chair;chair;chair,4,1.0
sunrgbd/kv2/kinect2data/000392_2014-06-08_23-08-21_260595134347_rgbf000102-resize,dining_room,chair;chair;chair;table;table;chair;chair;chair,8,1.0
sunrgbd/kv2/kinect2data/000393_2014-06-08_23-08-44_260595134347_rgbf000119-resize,dining_room,chair;chair;chair;chair;chair;table,6,1.0
sunrgbd/kv2/kinect2data/000394_2014-06-08_23-09-42_260595134347_rgbf000100-resize,dining_room,chair;chair;chair;chair;table;chair;chair;chair,8,1.0
sunrgbd/kv2/kinect2data/000400_2014-06-08_18-51-40_260595134347_rgbf000123-resize,dining_room,chair;chair;desk;chair;chair;chair,6,0.5
sunrgbd/kv2/kinect2data/000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize,dining_room,table;chair;chair;chair;chair,5,1.0
sunrgbd/kv2/kinect2data/000402_2014-06-09_22-23-28_260595134347_rgbf000081-resize,dining_room,table;chair;chair;chair;endtable;chair,6,1.0
